0.5401	0.2196	0.3551	0.4046
0.7279	0.5775	0.5054	0.8000
0.7152	0.7190	0.6343	0.8000
0.2086	0.2000	0.2000	0.2086
0.5700	0.2000	0.4759	0.2941
0.3446	0.3798	0.2586	0.4658
0.5340	0.2387	0.4329	0.3398
0.2447	0.2000	0.2000	0.2447
0.8000	0.6215	0.6215	0.8000
0.2430	0.6946	0.2000	0.7376
0.5790	0.2000	0.4731	0.3059
0.2858	0.2448	0.2000	0.3306
0.7784	0.2000	0.6939	0.2845
0.4488	0.2000	0.3782	0.2706
0.8000	0.3222	0.6046	0.5176
0.3223	0.6164	0.2000	0.7387
0.5776	0.6847	0.4622	0.8000
0.8000	0.7989	0.7989	0.8000
0.7653	0.4472	0.4661	0.7463
0.6758	0.5120	0.5071	0.6807
0.7452	0.2000	0.6532	0.2920
0.8000	0.5623	0.6798	0.6825
0.8000	0.5983	0.7658	0.6325
0.2961	0.2767	0.2000	0.3729
0.4175	0.2000	0.2731	0.3443
0.8000	0.3422	0.7388	0.4034
0.6444	0.2387	0.5160	0.3671
0.7620	0.2000	0.6332	0.3287
0.6686	0.2000	0.5246	0.3440
0.6262	0.2000	0.5517	0.2746
0.2390	0.3591	0.2000	0.3981
0.5231	0.4624	0.2000	0.7854
0.8000	0.5361	0.7672	0.5689
0.3176	0.2665	0.2000	0.3841
0.8000	0.3752	0.7532	0.4220
0.2323	0.5446	0.2000	0.5769
0.7573	0.7461	0.7034	0.8000
0.2322	0.2000	0.2000	0.2322
0.8000	0.5954	0.7185	0.6769
0.2152	0.4097	0.2000	0.4250
0.3136	0.2000	0.2000	0.3136
0.4100	0.5647	0.2153	0.7594
0.4913	0.7477	0.4390	0.8000
0.3663	0.3326	0.2726	0.4262
0.4829	0.4358	0.2933	0.6254
0.7973	0.7414	0.7387	0.8000
0.6113	0.2000	0.3125	0.4988
0.8000	0.7953	0.7953	0.8000
0.7968	0.2161	0.6035	0.4094
0.7028	0.5883	0.5085	0.7826
0.6865	0.2000	0.5788	0.3076
0.3729	0.5397	0.2000	0.7125
0.4934	0.5216	0.3838	0.6312
0.4232	0.7880	0.4111	0.8000
0.8000	0.4529	0.6712	0.5818
0.7388	0.4230	0.5268	0.6350
